#Authors: Morton T.D., Bryson S.T., Coughlin J.L., Rowe J.F., Ravichandran G.,
#Table: False Positive Probability Results
#================================================================================
#Byte-by-byte Description of file: apj523473t6_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1-  9 A9     ---     KOI     Kepler Object of Interest identifier
# 132-133 A2     ---     Disp.   Exoplanet Archive disposition code (8)
# 135-141 E7.1   ---     FPP     ? False positive probability (9)
# 143-149 E7.1   ---   e_FPP     ? Uncertainty in FPP (10)
#--------------------------------------------------------------------------------
#    FP = false positive;
#    CA = candidate;
#--------------------------------------------------------------------------------
00379.02 CA 6.4e-01 1.2e-02
00380.01 FP 4.9e-01 1.5e-01
00381.01 FP 1.0e+00 0.0e+00
00382.01 FP 9.9e-01 4.9e-03
00384.01 CA 1.1e-05 9.1e-06
00385.01 CA 3.8e-05 2.3e-05
00386.01 PL 1.4e-03 1.0e-03
00386.02 PL 4.4e-03 8.1e-04
00387.01 CA 3.3e-06 1.2e-06
00388.01 CA 3.9e-01 2.9e-01
00389.01 FP 1.0e+00 0.0e+00
00390.01 FP 1.0e+00 0.0e+00
00391.01 FP 3.2e-01 3.8e-01
00392.01 PL 3.1e-04 1.0e-04
00392.02 PL 1.0e-02 1.3e-03
00393.01 CA 5.4e-04 2.4e-04
00394.01 FP 1.0e+00 0.0e+00
00395.01 FP 8.4e-01 1.8e-02
00397.01 CA 1.0e+00 4.2e-04
00398.01 CA 2.8e-03 1.4e-03
00398.02 PL 0.0e+00 0.0e+00
00398.03 PL 2.4e-02 1.9e-02
00399.01 FP 9.9e-01 7.4e-04
00400.01 FP 1.0e+00 0.0e+00
00401.01 PL 1.8e-05 1.2e-05
00401.02 PL 2.8e-02 3.4e-03
00401.03 PL 4.8e-03 9.8e-04
00402.01 FP 2.9e-04 2.5e-04
00403.01 FP 8.1e-01 1.3e-02
00404.01 FP 9.6e-01 1.0e-02
00405.01 FP 9.8e-02 2.7e-02
00407.01 FP 1.6e-02 8.6e-03
00408.01 PL 2.4e-04 1.4e-04
00408.02 PL 7.7e-06 2.9e-06
00408.03 PL 1.3e-04 3.3e-05
00408.04 PL 4.4e-05 1.0e-05
00409.01 CA 1.9e-04 1.2e-04
00410.01 CA 1.0e+00 4.2e-04
00411.01 FP 9.3e-01 3.8e-02
00412.01 CA 0.0e+00 0.0e+00
00413.01 PL 4.9e-04 2.8e-04
00413.02 PL 2.5e-04 9.2e-05
00414.01 FP 2.2e-04 7.6e-05
00414.02 CA 1.0e+00 0.0e+00
00415.01 CA 3.2e-02 5.5e-03
00416.01 PL 8.0e-06 3.9e-06
00416.02 PL 1.6e-03 4.7e-04
00416.03 CA 7.7e-01 2.8e-03
00416.04 CA 2.4e-01 6.5e-03
00417.01 CA 9.2e-01 2.9e-03
00418.01 FP 4.9e-03 1.3e-03
00419.01 CA 9.9e-01 4.2e-04
00420.01 CA 0.0e+00 0.0e+00
00421.01 CA 1.3e-05 8.0e-06
00423.01 PL 1.7e-03 1.4e-03
00424.01 CA 3.4e-01 5.9e-02
00425.01 CA 8.5e-01 8.1e-03
00426.01 CA 2.6e-05 9.3e-06
00427.01 CA 7.4e-02 1.5e-02
00427.02 CA 8.3e-06 2.4e-06
00427.03 CA 9.7e-05 2.6e-06
00428.01 PL 0.0e+00 0.0e+00
00429.01 CA 1.1e-05 9.0e-06
00430.01 CA 4.4e-04 1.1e-04
00430.02 CA 5.5e-01 5.3e-03
00431.01 PL 1.8e-06 0.0e+00
00431.02 PL 3.1e-05 1.3e-05
00432.01 CA 6.4e-04 4.2e-04
00433.01 CA 1.9e-05 7.6e-06
00433.02 CA 2.7e-03 6.0e-04
00434.01 FP 2.9e-03 2.4e-03
00435.01 CA 1.9e-05 1.3e-05
00435.03 PL 7.8e-03 1.7e-03
00435.04 CA 2.8e-05 1.5e-05
00435.05 PL 7.1e-05 1.4e-05
00435.06 CA 5.7e-05 1.6e-05
00437.01 CA 1.0e+00 3.2e-04
00438.01 PL 1.2e-03 3.9e-04
00438.02 PL 6.1e-05 1.1e-05
00439.01 CA 6.0e-05 3.5e-05
00440.01 PL 5.8e-05 3.1e-05
00440.02 PL 3.2e-04 2.6e-04
00441.01 FP 1.0e+00 4.8e-04
00442.01 PL 2.4e-03 5.7e-04
00442.02 PL 6.3e-05 5.4e-05
00442.03 CA 2.1e-03 7.5e-04
00443.01 CA 0.0e+00 0.0e+00
00444.01 CA 2.1e-06 1.2e-06
00446.01 PL 6.3e-05 1.3e-05
00446.02 PL 3.0e-05 4.0e-06
00447.01 FP 1.0e+00 0.0e+00
00448.01 PL 9.5e-05 2.8e-05
00448.02 PL 1.0e+00 6.3e-03
00449.01 CA 1.0e+00 4.2e-04
00450.01 FP 5.1e-01 2.4e-02
00451.01 FP 6.2e-01 2.6e-01
00452.01 CA 0.0e+00 0.0e+00
00453.01 FP 5.7e-01 1.7e-02
00454.01 CA 1.1e-05 2.7e-06
00455.01 FP 1.1e-01 1.5e-02
00456.01 PL 3.1e-01 1.2e-01
00456.02 PL 1.1e-02 9.0e-04
00457.01 PL 1.7e-05 1.6e-05
00457.02 PL 5.4e-03 6.1e-04
00458.01 CA 6.3e-01 1.9e-02
00459.01 PL 1.2e-02 2.1e-03
00459.02 PL 1.8e-04 3.8e-05
00460.01 CA 4.2e-05 1.5e-05
00460.02 CA 4.5e-02 1.3e-03
00461.01 FP 1.0e+00 8.8e-04
00462.01 FP 1.0e+00 0.0e+00
00463.01 CA 5.2e-05 1.2e-05
00464.01 CA 3.2e-05 3.0e-05
00464.02 CA 3.4e-04 2.9e-04
00466.01 CA 4.2e-01 3.4e-02
00467.01 CA 8.5e-06 9.5e-06
00468.01 CA 1.6e-05 7.2e-06
00469.01 CA 9.6e-02 1.5e-02
